q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q0,0.9737450110284436,0.9173448942099779,0.9365622454097836,0.9704111225682115,0.9720162728618275,0.9491264808386302,0.9567254238955816,0.942796366126776,0.942796366126776,0.942796366126776,0.8469138399744621,0.9875114376558303,0.9902883149749856,0.9694236567960175,0.9813636840332906,0.985602342899373,0.9427099990323233,0.93220904764291
q1,0.805114853485415,0.9196006492782978,0.8093002676636577,0.8976260848391158,0.89956280952468,0.9152343338562434,0.9053260052609264,0.9171815534201033,0.9030691527511764,0.9176391681273721,0.6091695802404581,0.4275628924990196,0.7062727430924823,0.4976385890397979,0.6252404614561777,0.7172904862736289,0.6836885908058292,0.6872159117235977
q10,0.9550687866673362,0.8718478558002619,0.9365622454097836,0.9263767796563567,0.9263767796563567,0.9006399095396642,0.8695744871902533,0.907685326405992,0.8905583882590553,0.9010044094095019,0.8469138399744621,0.9875114376558303,0.9902883149749856,0.9678185065024015,0.9813636840332906,0.9847642883174091,0.9427099990323233,0.887277834310246
q11,0.842762119885472,0.8725531202053698,0.8470512529554198,0.8092768387438156,0.8167597033821425,0.8284165577825974,0.8136324004366122,0.8518823414201018,0.8561571199644427,0.8648580587849594,0.6002789769290038,0.6229779887145044,0.7186034383197704,0.8031958959018952,0.7092602792759264,0.6729068975713178,0.6576333790975294,0.6454119886726482
q12,0.5266829429183809,0.5753707468787149,0.5752782769447929,0.7218138507533968,0.6657745723404664,0.633970159801353,0.622156306606178,0.6078751374298252,0.569218743184052,0.5684948215642509,0.3229117996005594,0.28563857684892074,0.13181636844232839,0.2561665443963784,0.05845709285660553,0.19868607719570733,0.2618083063081091,0.28627839461579185
q13,0.6013585177987809,0.5913001550259622,0.6476572375348421,0.6836812610393195,0.7227998250622636,0.720589584449108,0.684933288133634,0.5590173173963776,0.5231643103944289,0.5157777094534842,0.6666216648242783,0.43080447724009163,0.14116715171386757,0.46215243287762386,0.6447569027943726,0.6197031875972755,0.4756964240928449,0.40133025772325853
q14,0.7153382790366966,0.6781035935540111,0.6394714728255649,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.7153382790366966,0.4331693334690479,0.1505149978319906,0.12797901240490775,0.8154648767857288,0.8154648767857288,1.0
q15,0.6260512331243454,0.6342500373241439,0.9213287553141181,0.7830475675019566,0.7374372838564535,0.7597465190969991,0.7477537645589112,0.7134722532761795,0.7482310521719051,0.7069859537662091,0.26812173340292395,0.8489942297789023,0.13406086670146197,0.14036755858138342,0.8101836387580577,0.6991194762996855,0.47799506866702435,0.8508781240560281
q16,0.9354940990927231,0.854058224873029,0.8933922236949825,0.8929315940443691,0.8893052435430476,0.9163739727224328,0.9128555647481063,0.8969744278891473,0.9006223870996565,0.9075433390972626,0.8258025736771687,0.8767797876708722,0.6940613618676413,0.7492692180580552,0.8872255943662455,0.6199338854498526,0.3218886530133511,0.92593888293263
q17,0.5384807013493832,0.7803327317325288,0.8950875452226066,0.7714360193580804,0.7206129146057071,0.7072590069920994,0.7145298858742573,0.7206129146057071,0.7222387480979979,0.7255340939620494,0.944847956559586,0.8983537904952533,0.6870555784408762,0.6304348973059355,0.15364821937232787,0.22567752893037152,0.0,0.5508231047523733
