q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q0,0.833250173740767,0.8273900779375103,0.83789419996053,0.8336907413855187,0.8336907413855187,0.8296701088961704,0.8309730433109435,0.8309730433109435,0.8309730433109435,0.8309730433109435,0.8296701088961704,0.8409950521124234,0.8409950521124234,0.8315935365125215,0.83789419996053,0.8395508371887753,0.8409950521124234,0.83789419996053
q1,0.7801449871556403,0.9359100812498644,0.9343816837503873,0.9314437892466578,0.9466283887869092,0.9502725354098007,0.9516997322629477,0.9523828222372885,0.9679614541544778,0.9689342197634473,0.6249401354514071,0.6052482641695117,0.6712875276848725,0.6829289485654554,0.6702071037122247,0.6788470520457647,0.7289502452153785,0.6996231666423944
q10,0.8282258939725223,0.8005176968702236,0.83789419996053,0.8336907413855187,0.8336907413855187,0.8296701088961704,0.8296701088961704,0.8324172582345916,0.8309730433109435,0.8293164060826981,0.8296701088961704,0.8409950521124234,0.8409950521124234,0.8315935365125215,0.83789419996053,0.8395508371887753,0.8409950521124234,0.7237539856273886
q11,0.9186116275678073,0.9846521949242326,0.9444408107313513,0.9416230131286546,0.944106252926688,0.9175309999925437,0.9168073301903369,0.9180166655330412,0.9203016690194037,0.9275790683664179,0.6161663312759533,0.7177234501577084,0.7341175718049494,0.8304359135590086,0.7113132901100703,0.7223599687303099,0.6452369696141014,0.6677768857864407
q12,0.3301453787647326,0.525720247129435,0.5100937157935619,0.5489737508784645,0.5127481800908704,0.5110059199964272,0.4910199804541162,0.48154884922037317,0.4724234927459714,0.47129276970956974,0.11749903170641009,0.2305184034339661,0.1333696501653887,0.08212141900235828,0.23533509262702465,0.07833268780427338,0.08539005736736073,0.09092031323567568
q13,0.6416295933005234,0.6537846644536343,0.650127527185689,0.6492998201238902,0.6511708030486694,0.6511708030486694,0.6515647801460728,0.6515647801460728,0.6510662022597868,0.6510662022597868,0.6036455380052191,0.6069760442453631,0.552715794154838,0.5298796783738742,0.6544382452836145,0.6968229860220816,0.5592223590498814,0.559459120754026
q14,0.8154648767857288,0.8154648767857288,0.8154648767857288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7153382790366966,1.0,0.75,0.8154648767857288,1.0,1.0,1.0,1.0
q15,0.13406086670146197,0.13406086670146197,0.26812173340292395,0.26812173340292395,0.2186438562929914,0.20109130005219297,0.18181431093045328,0.17635236149722672,0.170289227899792,0.1668589304168139,0.2186438562929914,0.19179773934478359,0.09648915379240523,0.07990291134293037,0.26812173340292395,0.26812173340292395,0.18592268932521824,0.26812173340292395
q16,0.8942314777582058,0.7560855788458314,0.8730237325927904,0.8202673772842602,0.8142201799265545,0.8417319352304672,0.8360267475293416,0.8360267475293416,0.8454214105481205,0.8556590210683793,0.7904953572379924,0.8416539391819935,0.6597340434030269,0.7674526569201771,0.8386397491982643,0.7840324038525568,0.647437996552757,0.8729788489008918
q17,0.6885288809404666,0.6489266791213485,0.6377057761880933,0.6573668369339241,0.6573668369339241,0.6489266791213485,0.6489266791213485,0.6489266791213485,0.6489266791213485,0.6489266791213485,0.6885288809404666,0.8262346571285599,0.6377057761880933,0.6885288809404666,0.3391357852485441,0.12744846574471497,0.22567752893037152,0.6231598209278505
