q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q0,0.833250173740767,0.8715429467931791,0.83789419996053,0.8336907413855187,0.8336907413855187,0.8737044518080253,0.8309730433109435,0.8738734950756158,0.8738734950756158,0.8738734950756158,0.8711263457371947,0.8409950521124234,0.8866345453178943,0.8756278794243764,0.83789419996053,0.8835851801006301,0.8409950521124234,0.83789419996053
q1,0.805114853485415,0.9204500676620503,0.9006915282922512,0.9314437892466578,0.9466283887869092,0.9502725354098007,0.9516997322629477,0.9523828222372885,0.9378056294408054,0.9689342197634473,0.5749057466142358,0.5752032108686737,0.7062727430924823,0.5900763543774061,0.6545853032253383,0.7091632867713198,0.6822246825524783,0.6901041265225455
q10,0.8270920028253399,0.7964673364001412,0.83789419996053,0.8336907413855187,0.8336907413855187,0.8296701088961704,0.8296701088961704,0.8324172582345916,0.829839152163761,0.8281825149355156,0.8711263457371947,0.8409950521124234,0.8866345453178943,0.8315935365125215,0.83789419996053,0.8835851801006301,0.8409950521124234,0.723401252424769
q11,0.8406693140682282,0.9010032857464634,0.9067029606880037,0.8963944711772448,0.9073475003488536,0.8783315379361167,0.8777400811253354,0.8772489384809539,0.8768801690067104,0.8835452179961691,0.5838867494829426,0.6319626562915739,0.7186034383197704,0.8031958959018952,0.6945580509083051,0.688696548584401,0.6726993603084058,0.6454119886726482
q12,0.39174755222159113,0.5593814390165988,0.5059255143529118,0.5879988467130577,0.5514023473109606,0.5367229172969524,0.5224779079932108,0.5163089428386851,0.5067747909737538,0.5064719007420567,0.18696859578385688,0.20408393756098356,0.20889538231745872,0.14360593858077605,0.15600869385777866,0.2585785520828886,0.15425082377068505,0.16711431032247376
q13,0.636870511584113,0.636870511584113,0.5852889401355084,0.5870744642750085,0.5959048018448333,0.5921140886380984,0.4979803389413397,0.500809722691274,0.6162546607105625,0.5870744642750085,0.5995317957895239,0.4469783234863822,0.3015372344722644,0.6511322575088158,0.5805146934260769,0.6577523544654849,0.4931893234888357,0.631286812285068
q14,0.8154648767857288,0.8154648767857288,0.8154648767857288,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7153382790366966,1.0,0.75,0.8154648767857288,1.0,1.0,1.0,1.0
q15,0.35270472299445343,0.28567428964372243,0.41973515634518443,0.41973515634518443,0.410441595637775,0.40456654561820965,0.39306106511630406,0.3901000560487027,0.3837234867864863,0.35270472299445343,0.3870139893774112,0.2842381391409289,0.1762207162937104,0.08343923671623761,0.41973515634518443,0.41973515634518443,0.3260306317655731,0.41973515634518443
q16,0.9354940990927231,0.854058224873029,0.8933922236949825,0.8929315940443691,0.8893052435430476,0.9163739727224328,0.9128555647481063,0.8969744278891473,0.9006223870996565,0.9075433390972626,0.8258025736771687,0.8767797876708722,0.6924200836837888,0.7492692180580552,0.8872255943662455,0.6176263076960492,0.3218886530133511,0.92593888293263
q17,0.4661439851739061,0.6489266791213485,0.6252498143744771,0.6426269555444355,0.6426269555444355,0.6377057761880933,0.6377057761880933,0.6426269555444355,0.6426269555444355,0.6426269555444355,0.6885288809404666,0.8262346571285599,0.633730243169987,0.6694364041833993,0.23722659886205216,0.0,0.21332431008750466,0.6196759928464199
