q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q0,0.5939481827081792,0.6476070510078299,0.5423994157718348,0.45801134787957626,0.5008762527776172,0.0,0.0,0.0,0.0,0.031018763792032927,0.217431868777557,0.21982059473531826,0.6340702325145607,0.15819472541881716,0.08206739887418946,0.062801136166319,0.10549031687231289,0.12380190697952208
q1,0.925279347010806,0.8523971726985959,0.8867869005295375,0.887898871110215,0.8885835931182526,0.03570424856038615,0.03570424856038615,0.0,0.0,0.0,0.922187139213317,0.9069237335685971,0.9036193167236841,0.13641588477017427,0.06770384661173906,0.06831470905514149,0.0,0.0
q10,0.28937667076557316,0.182609365673077,0.05458716488036399,0.06127205516874492,0.07318316655103381,0.031018763792032927,0.11130937783629742,0.0653327184372311,0.06974357787369552,0.0901796786630653,0.21367952781859767,0.0,0.07137510591388359,0.15121784402406108,0.04229149479576471,0.06703043335073099,0.06703043335073099,0.08937391113430798
q11,0.9380030538746488,0.8733578358518077,0.9174759625918559,0.9175149103860253,0.9181996323940629,0.0,0.0,0.0,0.0,0.0,0.922187139213317,0.9069237335685971,0.9036193167236841,0.016809359099129857,0.10253055155329747,0.0,0.0,0.0
q12,0.8896895466680598,0.8691416606848399,0.8769067456343999,0.8782805153255817,0.8791806877531184,0.4817212582880475,0.4928352195475749,0.49363852917846573,0.4930118416996088,0.5260253325228058,0.8999116384026062,0.9443751965506694,0.8971686853695351,0.4743602808328669,0.3222604780877029,0.5146091782044734,0.5269104816796779,0.4938651029516195
q13,0.4370457781206232,0.5394125063686407,0.5217007861077009,0.4370457781206232,0.4370457781206232,0.4730521374846034,0.4730521374846034,0.3596083375790938,0.2932479686950564,0.4495104219738672,0.36681503435017615,0.34044714391747855,0.2683186809885685,0.1466239843475282,0.2932479686950564,0.14857741081173018,0.2165529354389486,0.16986795641372787
q14,0.41871736957975264,0.26806102897354833,0.4599207761393419,0.33607006070226786,0.33607006070226786,0.15735483118925495,0.17051513870340607,0.17051513870340607,0.16332325352902444,0.15687154734915018,0.2961783943912006,0.4953125350842896,0.4163951635788811,0.1965759703394715,0.12418581097034669,0.10621688295720418,0.22432296621552536,0.123680209049819
q15,0.9635825499105617,0.822976512281988,1.0,0.9811396373311051,0.9811396373311051,0.0,0.0,0.0,0.0,0.0,0.5651263305451277,0.9811396373311051,1.0,0.0,0.0,0.06482478787382219,0.0,0.0
q16,0.9435378264358646,0.897724057194939,0.873984911980354,0.9118546974727201,0.9528781211327199,0.8207709930526683,0.8207709930526683,0.8207709930526683,0.8207709930526683,0.8207709930526683,0.873984911980354,0.854131963209064,0.9096595135425599,0.8207709930526683,0.8207709930526683,0.8207709930526683,0.8207709930526683,0.8207709930526683
q17,0.2807721888661444,0.2807721888661444,0.17714752793103522,0.2807721888661444,0.2807721888661444,0.08857376396551761,0.09359072962204813,0.09359072962204813,0.09359072962204813,0.09359072962204813,0.2807721888661444,0.1403860944330722,0.17714752793103522,0.08116136400948525,0.07587535813370572,0.07186589488370679,0.07587535813370572,0.10001307161417164
q18,0.9502344167898356,1.0,0.7171809907403115,0.6791833733894798,0.6791833733894798,0.6060244749113761,0.6005378665737143,0.4524000432550271,0.4524000432550271,0.4456683925779832,0.7836037084784354,0.3619215048162961,0.7055327815530771,0.6370058460425977,0.7055327815530771,0.658210866856708,0.19004688335796713,0.6968385723125461
q19,1.0,0.8769765845238192,0.7854023957026741,1.0,1.0,0.46821178934684693,0.8102255193577976,0.4160686411271093,0.5495707714591522,0.47689218602446437,0.2714546321307583,0.5436432511904858,1.0,0.4245685381563611,1.0,0.18015876961821317,0.44778137592916734,0.5872865023809717
q2,0.9196926205547123,0.9286995301228803,0.8958636690568985,0.941847238637271,0.9228698568448668,0.5219057250877552,0.6012168288824913,0.6652794329523158,0.5905775810597982,0.5940548484197272,0.945328220257538,0.9443751965506694,0.9451271916512689,0.56627792059643,0.5820324669935066,0.4801033689996919,0.5678731796276036,0.6136076161282216
q20,0.46093376650083623,0.3440875541321221,0.570083716082498,0.6087177401319627,0.4855859859037989,0.11535612161065703,0.11417157106461749,0.06836766450118088,0.06144456390483674,0.13770350004947393,0.22135187531432998,0.7414513768731308,0.0758067114711302,0.29048238755048555,0.13150093534749144,0.08338085898808639,0.10627102023674599,0.0
q21,0.4383293622889906,0.877359050277773,0.8924373961058821,0.8715895774105364,0.8698556287331652,0.0,0.0,0.0,0.014808019637905097,0.0,0.922187139213317,0.9069237335685971,0.9036193167236841,0.12799839220541168,0.0,0.0,0.0,0.0
q22,0.7378297437355906,0.6267523654258053,0.7723052058306002,0.7585852242698311,0.7246406245209127,0.5767550804479216,0.6446072622331425,0.6552642781655996,0.6966976194946103,0.6921654305823101,0.6076771024631621,0.6904977017877696,0.6996442344201435,0.589371241548871,0.5865203248384306,0.6008291663451246,0.6337748994586044,0.45031730267341924
q23,0.4370457781206232,0.4495104219738672,0.5327159565602694,0.4370457781206232,0.4370457781206232,0.4495104219738672,0.4495104219738672,0.4495104219738672,0.4370457781206232,0.4495104219738672,0.513821093014881,0.41633023753184856,0.3043250403525486,0.14116908083353052,0.25724160933107637,0.14733499794656002,0.15228526978740087,0.2868223227408681
q24,0.254118641729687,0.22005937509164222,0.300861111029735,0.2436018968642832,0.27887631502229876,0.15562749838367254,0.16191956967693583,0.16067552071145816,0.07880424445579613,0.09417008709056406,0.2968004188739394,0.358901382389301,0.41608247059015435,0.19384415384999173,0.1269557122863662,0.10880009112434405,0.11171289069150532,0.10807593005943192
q25,1.0,0.9811396373311051,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5651263305451277,0.9811396373311051,1.0,0.0,0.0,0.06482478787382219,0.0,0.0
q26,0.8524541220158128,0.8931432453946854,0.873984911980354,0.9108898906745854,0.9528781211327199,0.873984911980354,0.873984911980354,0.8207709930526683,0.7918977435470156,0.7386838246193299,0.873984911980354,0.9253441872393399,0.8639896006428284,0.892862850148481,0.892862850148481,0.892862850148481,0.892862850148481,0.892862850148481
q27,0.2807721888661444,0.2807721888661444,0.2807721888661444,0.2807721888661444,0.2807721888661444,0.12092199990360372,0.10861750945625488,0.12092199990360372,0.12092199990360372,0.12092199990360372,0.17714752793103522,0.1403860944330722,0.10861750945625488,0.08857376396551761,0.10001307161417164,0.08452085079694197,0.09359072962204813,0.08857376396551761
q28,0.45150684897078125,0.4540635426130111,0.7552983647632414,0.7055327815530771,0.6791833733894798,0.5926813434028299,0.5888340796539526,0.5811416833062939,0.585949692725786,0.572405258166051,0.7836037084784354,0.3619215048162961,0.7055327815530771,0.9072278740982787,0.21105745700738587,0.6636974751943697,0.24432839043754342,0.6900468833579672
q29,1.0,0.8769765845238192,0.7854023957026741,1.0,1.0,0.40146072418082546,0.8102255193577976,0.47689218602446437,0.5641786884054361,0.5641786884054361,0.29383541906080307,1.0,1.0,0.7437927377199197,0.1859619637674199,0.28743598891040556,0.28743598891040556,0.4030198020690778
