q,bm25,tfidf,lsi_50,lsi_100,lsi_150,lsi_200,lsi_250,lsi_300,lsi_350,lsi_400,lda_50,lda_100,lda_150,lda_200,lda_250,lda_300,lda_350,lda_400
q18,0.9502344167898356,1.0,0.4896242229937111,0.6060244749113761,0.6098717386602533,0.23981246656813146,0.16369747519436975,0.12669792223864473,0.14704034066641014,0.12669792223864473,0.7055327815530771,0.19027819585394518,0.6331585822937205,0.5875035377451501,0.0,0.5875035377451501,0.0,0.621510373106486
q19,1.0,0.8769765845238192,0.42968827543929594,0.8769765845238192,1.0,0.0,0.0,0.0,0.0,0.0,0.08155018070607535,0.34095795125822964,1.0,0.0,0.7539531690476383,0.0,0.10034333188799373,0.1542521421065061
q2,0.9177920701733252,0.8514689617513637,0.8958636690568985,0.941847238637271,0.9228698568448668,0.0,0.0,0.0,0.035655213147073844,0.05047439540520394,0.9145342812486682,0.9443751965506694,0.9451271916512689,0.016139592213131725,0.0,0.0,0.01732698547800665,0.0
q20,0.3655345077722217,0.24199411967303683,0.5364174571088322,0.569190437189646,0.4101123462567335,0.0,0.0,0.0,0.0,0.0,0.06872624098118767,0.7267785441007746,0.0,0.03875125955079344,0.0,0.018114180599165006,0.0,0.0
q21,0.4383293622889906,0.877359050277773,0.8924373961058821,0.8715895774105364,0.8698556287331652,0.0,0.0,0.0,0.014808019637905097,0.0,0.922187139213317,0.9069237335685971,0.9036193167236841,0.0,0.0,0.0,0.0,0.0
q22,0.1567571399269681,0.2090254193301859,0.32165636168063827,0.37657136439826744,0.396748577601723,0.028411725405867696,0.06993538537524592,0.06812961306613392,0.03298499172205462,0.06052910035901873,0.0,0.0,0.04824900861353151,0.0542691789076332,0.09200940301059189,0.09157095103301421,0.10856748814369646,0.0
q23,0.4540593002397409,0.5087632918655272,0.5410513364700518,0.47947778343879166,0.5326544541661216,0.0,0.0,0.0,0.0,0.0,0.5394125063686407,0.3346790498726058,0.4517848611068041,0.0,0.2045244538467756,0.0,0.1798041687895469,0.0
q24,0.43372888276957283,0.4301251006251803,0.3907414574184378,0.29403548007819863,0.36351525041975047,0.0,0.0,0.0,0.0,0.0,0.24833043839029292,0.31054944642804605,0.34965294345208536,0.0,0.07420118876624603,0.0,0.0,0.0
q25,1.0,0.9811396373311051,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5651263305451277,0.9811396373311051,1.0,0.0,0.0,0.06482478787382219,0.0,0.0
q26,0.7543268824785232,0.7739562068262215,0.7854873958633029,0.6732351583669877,0.7787691478835709,0.0,0.0,0.0,0.0,0.0,0.617054688767603,0.4198480529861012,0.6843039153897007,0.0,0.0,0.0,0.0,0.0
q27,0.8987278302026704,0.860196007819371,0.8170113270825617,0.8272656696288417,0.8272656696288417,0.07186589488370679,0.07186589488370679,0.06733267115572335,0.06869106821782318,0.0,0.4211582832992166,0.3875151553854408,0.12092199990360372,0.24085299711268027,0.5011321189150597,0.22459750333906414,0.33134230748397864,0.28812734745048474
q28,0.19004688335796713,0.19004688335796713,0.4469589626846306,0.46922622683341847,0.45955015095067286,0.19004688335796713,0.19004688335796713,0.19004688335796713,0.23981246656813146,0.23981246656813146,0.7055327815530771,0.19027819585394518,0.6331585822937205,0.7552983647632414,0.0,0.5875035377451501,0.0,0.6153173492935856
q29,1.0,0.8333333333333334,0.7670099985546605,0.7539531690476383,1.0,0.0,0.0,0.0,0.0,0.0,0.07993748885604382,0.0,1.0,0.0,0.0,0.0,0.0,0.0
q3,0.6528563062741503,0.5728108290603479,0.4482945358937671,0.45435291859792026,0.38354336130434047,0.0,0.0,0.0,0.0,0.0,0.23942570386243744,0.27547754654304457,0.1863409762277427,0.0,0.09717989346405087,0.0,0.0,0.0
q4,0.2511231339119131,0.03325271681044706,0.09417008709056406,0.0850440627256477,0.18028321587031074,0.0,0.0,0.0,0.0,0.0,0.0,0.2586410167171067,0.3340778042631699,0.0,0.0,0.0,0.0,0.0
q5,1.0,0.9389290783133463,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9811396373311051,1.0,0.0,0.0,0.0,0.0,0.0
q6,0.775583761043736,0.7137696607797418,0.7861223165195346,0.6732351583669877,0.7787691478835709,0.0,0.0,0.0,0.0,0.0,0.617054688767603,0.6057186069631484,0.39677429040277196,0.0691541042784964,0.0,0.07209185709581271,0.03527462384160052,0.0
q7,0.967651764061914,0.7087752786025685,0.5223297618062773,0.5481206749594321,0.6385689071758369,0.0,0.0,0.0,0.0,0.0,0.6615574493464605,0.359312021518601,0.17714752793103522,0.06496456736480291,0.2505891434745122,0.0,0.0,0.0
q8,0.8531776795146803,0.8955796649110442,0.6182017362217522,0.5950234416789836,0.5950234416789836,0.39241192488026627,0.3730157416128459,0.23041557315815925,0.21784914596196486,0.2196880683214566,0.7055327815530771,0.19027819585394518,0.64981571682168,0.4057612575397635,0.33708722402437724,0.2927627213846094,0.0,0.5210105736494187
q9,1.0,1.0,0.5209631676022988,0.8769765845238192,1.0,0.0,0.0,0.0,0.0,0.0,0.08155018070607535,0.34095795125822964,1.0,0.0,0.0,0.0,0.0,0.0
